desired_certificate,count,mean
"SQLD, 빅데이터 분석 기사, 정보처리기사, 구글 애널리스트",3,1.0
"ADsP, 구글 애널리스트, 사회조사분석사 2급",1,1.0
"ADsP, 빅데이터 분석 기사, 정보처리기사, SQLD는 합격여부를 기다리는중",1,1.0
"SQLD, Adp",1,1.0
"SQLD, 정보처리기사, 구글 애널리스트",1,1.0
딱히 없음,1,1.0
"빅데이터 분석 기사, ADP",1,1.0
"빅데이터 분석 기사, AWS CLF",1,1.0
"빅데이터 분석 기사, 정보처리기사, SQLP",1,1.0
"빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증, ADsP는 8/30 발표 기다리는중(시험 응시)",1,1.0
"빅데이터 분석 기사, 태블로 관련 자격증, 경영정보시각화능",1,1.0
아직 계획없습니다.,1,1.0
아직 다 뭔지 잘 몰라서...,1,1.0
아직 없음,1,1.0
자격증은 아직 잘 모르겠음,1,1.0
"정보처리기사, 태블로 관련 자격증, 구글 애널리스트",3,0.6666666666666666
"빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증, 구글 애널리스트",10,0.6
"ADsP, 정보처리기사",10,0.5
"SQLD, 빅데이터 분석 기사, 태블로 관련 자격증",10,0.5
"SQLD, 빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증, 구글 애널리스트",6,0.5
"ADsP, SQLD, 빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증",4,0.5
"빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증",4,0.5
"ADsP, 구글 애널리스트",2,0.5
"ADsP, 정보처리기사, 구글 애널리스트",2,0.5
"빅데이터 분석 기사, 태블로 관련 자격증",11,0.45454545454545453
"ADsP, SQLD, 빅데이터 분석 기사, 구글 애널리스트",9,0.4444444444444444
"ADsP, 빅데이터 분석 기사",28,0.39285714285714285
"ADsP, SQLD",54,0.35185185185185186
"SQLD, 정보처리기사",20,0.35
"SQLD, 빅데이터 분석 기사, 정보처리기사",29,0.3448275862068966
빅데이터 분석 기사,59,0.3389830508474576
"빅데이터 분석 기사, 정보처리기사, 구글 애널리스트",9,0.3333333333333333
"SQLD, 태블로 관련 자격증",6,0.3333333333333333
.,3,0.3333333333333333
"ADsP, SQLD, 빅데이터 분석 기사, 태블로 관련 자격증",3,0.3333333333333333
"ADsP, 태블로 관련 자격증",3,0.3333333333333333
"SQLD, 빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증",3,0.3333333333333333
"SQLD, 태블로 관련 자격증, 구글 애널리스트",3,0.3333333333333333
"ADsP, SQLD, 빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증, 구글 애널리스트",16,0.3125
"ADsP, 빅데이터 분석 기사, 정보처리기사",16,0.3125
"SQLD, 빅데이터 분석 기사, 구글 애널리스트",7,0.2857142857142857
"빅데이터 분석 기사, 구글 애널리스트",7,0.2857142857142857
SQLD,42,0.2619047619047619
"빅데이터 분석 기사, 정보처리기사",42,0.2619047619047619
정보처리기사,24,0.25
태블로 관련 자격증,8,0.25
"ADsP, 빅데이터 분석 기사, 정보처리기사, 구글 애널리스트",4,0.25
"SQLD, 구글 애널리스트",4,0.25
구글 애널리스트,4,0.25
ADsP,29,0.2413793103448276
"ADsP, SQLD, 빅데이터 분석 기사, 정보처리기사",43,0.23255813953488372
"SQLD, 빅데이터 분석 기사",35,0.22857142857142856
"ADsP, SQLD, 빅데이터 분석 기사",52,0.21153846153846154
"ADsP, SQLD, 구글 애널리스트",15,0.2
"ADsP, SQLD, 빅데이터 분석 기사, 태블로 관련 자격증, 구글 애널리스트",6,0.16666666666666666
"ADsP, 빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증",6,0.16666666666666666
"ADsP, SQLD, 정보처리기사",13,0.15384615384615385
"태블로 관련 자격증, 구글 애널리스트",7,0.14285714285714285
"ADsP, SQLD, 빅데이터 분석 기사, 정보처리기사, 구글 애널리스트",8,0.125
"빅데이터 분석 기사, 태블로 관련 자격증, 구글 애널리스트",9,0.1111111111111111
"ADsP, SQLD, 태블로 관련 자격증",6,0.0
"ADsP, SQLD, 태블로 관련 자격증, 구글 애널리스트",4,0.0
"ADsP, 빅데이터 분석 기사, 구글 애널리스트",2,0.0
"ADsP, 빅데이터 분석 기사, 태블로 관련 자격증, 구글 애널리스트",2,0.0
"ADsP, 태블로 관련 자격증, 구글 애널리스트",2,0.0
없음,2,0.0
"ADsP, 6sigma",1,0.0
"ADsP, ADP",1,0.0
"ADsP, SQLD, 빅데이터 분석 기사, 정보처리기사, 클라우드 관련 자격증",1,0.0
"ADsP, SQLD, 빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증, 구글 애널리스트, 사회조사분석사",1,0.0
"ADsP, 빅데이터 분석 기사, 정보처리기사, 리눅스 마스터 2급",1,0.0
"ADsP, 빅데이터 분석 기사, 태블로 관련 자격증",1,0.0
"ADsP, 빅데이터 분석 기사, 품질경영",1,0.0
"ADsP, 사회조사분석사2급",1,0.0
AI 자격증(AICE),1,0.0
"SQLD, sqld 시험 응시는 완료. 발표아직안남",1,0.0
"SQLD, 빅데이터 분석 기사, 정보처리기사, 사회조사분석사, sqlp 등",1,0.0
"SQLD, 빅데이터 분석 기사, 정보처리기사, 한능검, 네트워크관리사2급, 리눅스마스터, SQL 개발자",1,0.0
"SQLD, 빅데이터 분석 기사, 태블로 관련 자격증, 구글 애널리스트",1,0.0
"SQLD, 정보처리기사, 태블로 관련 자격증",1,0.0
"SQLD, 정보처리기사, 태블로 관련 자격증, 구글 애널리스트",1,0.0
x,1,0.0
"빅데이터 분석 기사, 정보처리기사, ADO, SQLP",1,0.0
