h1_prev_class_count,h1_previous_any,h1_reregistration_yes,h1_experience_score,h2_major_data_flag,h2_desired_job_data_cnt,h2_desired_cert_cnt,h2_acquired_cert_cnt,h2_alignment_score,h3_time_input,h3_time_high,h3_project_team,h3_hope_offline,h3_hope_online,h3_hope_individual,h3_engagement_score,h4_text_len_reason,h4_text_len_company,h4_text_len_total,h4_choice_breadth,h4_response_complexity_score,h4_complexity_high,h5_goal_item_cnt,h5_inflow_referral,h5_inflow_organic
0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,28.0,16.0,44.0,9.0,12.80666248977032,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,48.0,5.0,53.0,8.0,11.988984046564275,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,10.0,1.0,0.0,1.0,0.0,0.0,2.0,57.0,4.0,61.0,13.0,17.127134385045093,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,25.0,3.0,28.0,6.0,9.367295829986475,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,24.0,3.0,27.0,12.0,15.332204510175204,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,18.0,2.0,20.0,6.0,9.044522437723423,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,24.0,5.0,29.0,16.0,19.401197381662154,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,2.0,56.0,10.0,14.04305126783455,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,40.0,6.0,46.0,11.0,14.85014760171006,1.0,1.0,0.0,1.0
6.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,32.0,3.0,35.0,11.0,14.583518938456109,1.0,1.0,1.0,0.0
6.0,1.0,1.0,7.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,40.0,5.0,45.0,12.0,15.828641396489095,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,41.0,4.0,45.0,8.0,11.828641396489095,0.0,1.0,0.0,1.0
6.0,1.0,1.0,7.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,13.0,14.09861228866811,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,16.0,3.0,19.0,8.0,10.99573227355399,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,25.0,50.0,11.0,14.931825632724326,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.5,0.0,1.0,0.0,1.0,0.0,1.0,33.0,7.0,40.0,15.0,18.71357206670431,1.0,1.0,0.0,0.0
6.0,1.0,1.0,7.0,0.0,4.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,15.0,18.0,33.0,13.0,16.526360524616162,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0,10.0,8.0,18.0,8.0,10.94443897916644,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,27.0,2.0,29.0,7.0,10.401197381662156,0.0,1.0,0.0,1.0
6.0,1.0,1.0,7.0,1.0,3.0,3.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,17.0,4.0,21.0,13.0,16.091042453358316,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,16.0,2.0,18.0,10.0,12.94443897916644,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,54.0,7.0,61.0,11.0,15.127134385045093,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,2.0,17.0,5.0,7.8903717578961645,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,2.0,19.0,9.0,11.99573227355399,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,12.0,26.0,20.0,23.29583686600433,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0,22.0,6.0,28.0,7.0,10.367295829986475,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,20.0,49.0,6.0,9.912023005428146,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0,2.0,24.0,7.0,10.218875824868201,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,40.0,8.0,48.0,14.0,17.891820298110627,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,22.0,18.0,40.0,6.0,9.713572066704309,0.0,1.0,0.0,1.0
