feature,hypothesis_id,expected_direction,dtype,train_missing_rate,train_nunique,train_mean,train_std
h1_prev_class_count,H1,up,float64,0.0,2,1.1711229946524064,2.379659526084842
h1_previous_any,H1,up,float64,0.0,2,0.19518716577540107,0.39660992101414033
h1_reregistration_yes,H1,up,float64,0.0,2,0.19518716577540107,0.39660992101414033
h1_experience_score,H1,up,float64,0.0,2,1.3663101604278074,2.7762694470989824
h2_major_data_flag,H2,up,float64,0.0,2,0.43716577540106955,0.4963680558948015
h2_desired_job_data_cnt,H2,up,float64,0.0,5,1.4425133689839573,1.0695543710813444
h2_desired_cert_cnt,H2,up,float64,0.0,8,2.4545454545454546,1.2393884495406648
h2_acquired_cert_cnt,H2,up,float64,0.0,5,0.5347593582887701,0.7796750916719202
h2_alignment_score,H2,up,float64,0.0,5,2.6470588235294117,1.0065538444528528
h3_time_input,H3,up,float64,0.0,14,2.3264705882352943,1.365924905155239
h3_time_high,H3,up,float64,0.0,2,0.12165775401069519,0.32710884012284813
h3_project_team,H3,up,float64,0.0,2,0.7045454545454546,0.4565520998589351
h3_hope_offline,H3,up,float64,0.0,2,0.49064171122994654,0.5002469162460349
h3_hope_online,H3,mixed,float64,0.0,2,0.35427807486631013,0.4786140048897547
h3_hope_individual,H3,down,float64,0.0,2,0.15508021390374332,0.36222334258836025
h3_engagement_score,H3,up,float64,0.0,4,1.3168449197860963,0.8657608442126193
h4_text_len_reason,H4,mixed,float64,0.0,78,25.83288770053476,17.685339490143118
h4_text_len_company,H4,mixed,float64,0.0,39,6.711229946524064,7.810988866947893
h4_text_len_total,H4,mixed,float64,0.0,92,32.544117647058826,20.565354215270094
h4_choice_breadth,H4,up,float64,0.0,21,9.140374331550802,3.545885995094935
h4_response_complexity_score,H4,up,float64,0.0,472,12.482821658040056,3.7067622235621602
h4_complexity_high,H4,up,float64,0.0,2,0.30213903743315507,0.45949244092426816
h5_goal_item_cnt,H5,up,float64,0.0,3,1.0040106951871657,0.08171495101138578
h5_inflow_referral,H5,mixed,float64,0.0,2,0.3048128342245989,0.46063612641602497
h5_inflow_organic,H5,mixed,float64,0.0,2,0.6176470588235294,0.48628727416700196
