feature,hypothesis_id,expected_direction,feature_type,oof_auc,effect_range,shift_level,shift_metric_type,shift_metric_value,is_leakage_review,priority_score,blueprint_action,best_segment,best_segment_rate,worst_segment,worst_segment_rate
h2_acquired_cert_cnt,H2,up,numeric,0.578052530429212,0.21511627906976744,low,js,0.022476668118783356,0,0.37122133992819145,HIGH_PRIORITY_FEATURE,2.0,0.46511627906976744,0.0,0.25
h1_prev_class_count,H1,up,numeric,0.5526243860773008,0.14019478450826012,low,js,1.8271236815425602e-05,0,0.24544355666286172,TRY_WITH_REGULARIZATION,6.0,0.410958904109589,0.0,0.2707641196013289
h1_previous_any,H1,up,binary,0.5526243860773008,0.14019478450826012,low,js,1.8271236815425602e-05,0,0.24544355666286172,TRY_WITH_REGULARIZATION,1.0,0.410958904109589,0.0,0.2707641196013289
h1_reregistration_yes,H1,up,binary,0.5526243860773008,0.14019478450826012,low,js,1.8271236815425602e-05,0,0.24544355666286172,TRY_WITH_REGULARIZATION,1.0,0.410958904109589,0.0,0.2707641196013289
h1_experience_score,H1,up,numeric,0.5526243860773008,0.14019478450826012,low,js,1.8271236815425602e-05,0,0.24544355666286172,TRY_WITH_REGULARIZATION,7.0,0.410958904109589,0.0,0.2707641196013289
h5_inflow_organic,H5,mixed,binary,0.5534614563314115,0.09473859473859475,low,js,0.00440897026726653,0,0.2016615074014178,BACKUP_FEATURE,0.0,0.35664335664335667,1.0,0.2619047619047619
h2_alignment_score,H2,up,numeric,0.5505274396754217,0.12896661716988395,medium,js,0.08950988091493675,0,0.2000214965207274,TRY_WITH_REGULARIZATION,2.0,0.3588516746411483,4.0,0.22988505747126436
h2_major_data_flag,H2,up,binary,0.5430877642536835,0.07328553683889383,low,js,0.0006450999132856915,0,0.15946106534626092,BACKUP_FEATURE,0.0,0.33016627078384797,1.0,0.25688073394495414
h3_hope_offline,H3,up,binary,0.5428486013239378,0.07175295186194369,low,js,0.0006622987252769743,0,0.1574501545098192,BACKUP_FEATURE,0.0,0.3333333333333333,1.0,0.2615803814713896
h5_inflow_referral,H5,mixed,binary,0.5448088831945334,0.08849527665317142,medium,js,0.03602725609654243,0,0.14811304304223813,BACKUP_FEATURE,1.0,0.35964912280701755,0.0,0.27115384615384613
h3_engagement_score,H3,up,numeric,0.5229895366218236,0.09553091979906458,low,js,0.0022932220608152315,0,0.14150999304271172,BACKUP_FEATURE,1.0,0.3346613545816733,3.0,0.2391304347826087
h2_desired_job_data_cnt,H2,up,numeric,0.5390006406149904,0.141025641025641,high,js,0.16264939076605803,0,0.13902692225562185,LOW_PRIORITY_OR_REGULARIZE,1.0,0.3333333333333333,3.0,0.19230769230769232
h3_hope_online,H3,mixed,binary,0.5351270553064276,0.06426032266885423,low,js,0.00017259664466157554,0,0.13451443328170937,BACKUP_FEATURE,1.0,0.33962264150943394,0.0,0.2753623188405797
h4_text_len_reason,H4,mixed,numeric,0.5258338671791587,0.08050632911392408,low,psi,0.05403575716555466,0,0.13217406347224148,BACKUP_FEATURE,"(36.6, 165.0]",0.34,"(0.999, 13.0]",0.25949367088607594
h4_text_len_total,H4,mixed,numeric,0.5145889387144993,0.06843267108167767,low,psi,0.07429561849143902,0,0.09761054851067624,BACKUP_FEATURE,"(24.0, 32.0]",0.3333333333333333,"(1.999, 17.0]",0.26490066225165565
h4_text_len_company,H4,mixed,numeric,0.5137433269271834,0.05716312056737588,low,psi,0.09347963214805013,0,0.08464977442174265,BACKUP_FEATURE,"(5.0, 9.0]",0.32666666666666666,"(9.0, 88.0]",0.2695035460992908
h4_complexity_high,H4,up,binary,0.5203715566944267,0.04043332316142817,low,js,7.934141398470537e-07,0,0.08117643655028156,BACKUP_FEATURE,0.0,0.3103448275862069,1.0,0.26991150442477874
h3_time_high,H3,up,binary,0.5123638693145419,0.04842189773696626,low,js,0.0014103821067404446,0,0.0731496363660501,BACKUP_FEATURE,1.0,0.34065934065934067,0.0,0.2922374429223744
h3_time_input,H3,up,numeric,0.5030578688874654,0.05039716837469649,low,psi,0.09720630188798107,0,0.056512906149627284,BACKUP_FEATURE,"(3.0, 24.0]",0.34065934065934067,"(-0.001, 2.0]",0.2902621722846442
h3_hope_individual,H3,down,binary,0.5077215460175102,0.024661719773024893,low,js,0.0003519616626108486,0,0.04010481180804526,BACKUP_FEATURE,1.0,0.31896551724137934,0.0,0.29430379746835444
h4_choice_breadth,H4,up,numeric,0.5122314755498611,0.08870320855614977,high,psi,2.0186258737564238,0,0.033166159655872066,LOW_PRIORITY_OR_REGULARIZE,"(6.0, 8.0]",0.32620320855614976,"(8.0, 9.0]",0.2375
h3_project_team,H3,up,binary,0.5035575485799701,0.007152240548824962,low,js,5.6814684549308814e-06,0,0.01426733770876526,BACKUP_FEATURE,0.0,0.3031674208144796,1.0,0.29601518026565465
h5_goal_item_cnt,H5,up,numeric,0.5019047619047619,0.0,low,js,0.000464740668536543,0,0.003809523809523707,BACKUP_FEATURE,1.0,0.29892761394101874,1.0,0.29892761394101874
h2_desired_cert_cnt,H2,up,numeric,0.5066453128336537,0.04849152169125742,high,psi,0.32785413094164806,0,-0.01821785264143526,LOW_PRIORITY_OR_REGULARIZE,"(1.0, 2.0]",0.32217573221757323,"(2.0, 3.0]",0.2736842105263158
h4_response_complexity_score,H4,up,numeric,0.5035618193465727,0.04881431767337807,high,psi,2.202371645723153,0,-0.024062043633476457,LOW_PRIORITY_OR_REGULARIZE,"(11.079, 12.837]",0.3221476510067114,"(9.39, 11.079]",0.2733333333333333
