model,fold,fold_auc,fold_ap,n_train,n_valid
lr_l1_balanced,1,0.582010582010582,0.3690673516557753,598,150
lr_l1_balanced,2,0.5801058201058201,0.4005688195141661,598,150
lr_l1_balanced,3,0.5216931216931217,0.3313404238698342,598,150
lr_l1_balanced,4,0.6683982683982684,0.3989904653370504,599,149
lr_l1_balanced,5,0.6023809523809525,0.38309995654084283,599,149
lr_l2_balanced,1,0.557037037037037,0.34166308774073206,598,150
lr_l2_balanced,2,0.5413756613756614,0.3574948140005501,598,150
lr_l2_balanced,3,0.5136507936507937,0.36570352424051333,598,150
lr_l2_balanced,4,0.6259740259740261,0.39000310965139207,599,149
lr_l2_balanced,5,0.5811688311688311,0.37990456601557826,599,149
lr_l2_unweighted,1,0.555978835978836,0.3389169624901138,598,150
lr_l2_unweighted,2,0.5489947089947089,0.35777132937545264,598,150
lr_l2_unweighted,3,0.5206349206349206,0.3484739158854238,598,150
lr_l2_unweighted,4,0.6186147186147186,0.3863891815488201,599,149
lr_l2_unweighted,5,0.5811688311688311,0.3703639083732526,599,149
sgd_logloss_balanced,1,0.541904761904762,0.31948482991657107,598,150
sgd_logloss_balanced,2,0.43661375661375657,0.27209740272659716,598,150
sgd_logloss_balanced,3,0.5282539682539682,0.31446755295758355,598,150
sgd_logloss_balanced,4,0.5227272727272727,0.3227819660415944,599,149
sgd_logloss_balanced,5,0.6212121212121212,0.3811672113552486,599,149
sgd_logloss_unweighted,1,0.5238095238095238,0.2995275660888182,598,150
sgd_logloss_unweighted,2,0.6031746031746033,0.39640403770872795,598,150
sgd_logloss_unweighted,3,0.5564021164021165,0.32295224441336046,598,150
sgd_logloss_unweighted,4,0.6420995670995672,0.3864749724867763,599,149
sgd_logloss_unweighted,5,0.4831168831168831,0.3263293296142053,599,149
