model,fold,fold_auc,fold_ap,n_train,n_valid
lr_l1_balanced,1,0.5470899470899471,0.33965997840880424,598,150
lr_l1_balanced,2,0.5925925925925926,0.4162806695292271,598,150
lr_l1_balanced,3,0.5096296296296297,0.3195003422472494,598,150
lr_l1_balanced,4,0.6705627705627706,0.4517175064220633,599,149
lr_l1_balanced,5,0.6095238095238096,0.4266071465877768,599,149
lr_l2_balanced,1,0.5411640211640211,0.3345248191106355,598,150
lr_l2_balanced,2,0.5659259259259259,0.36947669850135834,598,150
lr_l2_balanced,3,0.5206349206349206,0.3429920657170916,598,150
lr_l2_balanced,4,0.6294372294372294,0.44035864860031415,599,149
lr_l2_balanced,5,0.5880952380952381,0.42859674801138103,599,149
lr_l2_unweighted,1,0.5396825396825397,0.33203029430914427,598,150
lr_l2_unweighted,2,0.5786243386243386,0.3753082201207798,598,150
lr_l2_unweighted,3,0.5208465608465609,0.33389256200864276,598,150
lr_l2_unweighted,4,0.6279220779220779,0.4338757395088171,599,149
lr_l2_unweighted,5,0.5971861471861472,0.4266686975075297,599,149
sgd_logloss_balanced,1,0.5034920634920634,0.3013366931892859,598,150
sgd_logloss_balanced,2,0.6047619047619047,0.3515625,598,150
sgd_logloss_balanced,3,0.49068783068783073,0.2899697382794543,598,150
sgd_logloss_balanced,4,0.5493506493506494,0.317916238575608,599,149
sgd_logloss_balanced,5,0.4982683982683982,0.31635898826029546,599,149
sgd_logloss_unweighted,1,0.5084656084656085,0.31971316152292695,598,150
sgd_logloss_unweighted,2,0.5047619047619047,0.30201342281879195,598,150
sgd_logloss_unweighted,3,0.5092063492063492,0.30557550036141506,598,150
sgd_logloss_unweighted,4,0.5778138528138528,0.3353385307010106,599,149
sgd_logloss_unweighted,5,0.5666666666666667,0.3775380981370765,599,149
